Wavelength_nm,2026_02_18_BluGlass_Lot2GainChip_GC1_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC2_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC3_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC4_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC5_T=20C__I=100mA.txt
406.06,54.178,60.112,46.163,65.737,66.484
406.08,71.408,82.812,66.713,86.937,95.184
406.11,51.068,59.712,46.413,66.737,67.484
406.14,64.068,74.212,57.913,74.037,80.184
406.16,56.408,61.412,51.663,75.537,71.784
406.19,65.178,71.312,52.313,73.537,74.584
406.22,56.438,67.112,51.413,71.337,74.684
406.25,62.268,73.112,54.563,75.837,77.884
406.27,56.238,60.412,48.213,63.937,77.184
406.3,60.858,72.812,56.363,75.637,74.184
406.33,49.678,54.712,45.713,65.837,66.584
406.35,63.008,73.012,52.063,79.937,82.884
406.38,54.328,57.612,44.813,70.437,70.084
406.41,59.918,75.112,48.463,80.437,80.684
406.44,55.988,65.312,48.113,71.337,74.984
406.46,62.338,66.412,54.513,80.437,75.784
406.49,55.738,62.812,46.663,66.437,64.584
406.52,59.928,65.512,49.963,69.537,69.384
406.54,51.708,62.612,47.963,65.937,69.884
406.57,61.238,67.512,51.213,76.937,80.784
406.6,52.398,55.912,44.313,61.137,67.984
406.63,62.088,69.712,57.363,75.737,81.384
406.65,56.458,64.012,50.213,74.437,72.384
406.68,69.748,78.612,62.613,92.237,85.884
406.71,55.008,59.812,50.863,67.937,70.284
406.73,59.618,71.012,50.413,74.837,71.684
406.76,51.368,61.112,46.313,63.537,72.784
406.79,61.538,71.312,52.563,74.937,75.884
406.82,51.838,62.012,51.563,68.437,73.484
406.84,58.048,71.212,48.563,68.437,75.884
406.87,52.488,61.612,48.563,64.937,65.984
406.9,64.048,69.412,51.713,75.237,84.684
406.92,55.538,67.712,48.413,74.537,71.084
406.95,60.478,70.312,53.213,71.337,80.284
406.98,50.258,62.112,44.913,67.337,68.484
407.01,64.108,70.912,51.913,77.137,83.084
407.03,52.368,58.212,45.313,66.337,65.684
407.06,63.258,67.712,52.763,80.137,81.284
407.09,53.828,60.612,48.063,69.337,70.684
407.11,57.968,65.912,53.413,75.937,80.184
407.14,52.278,61.112,46.413,66.637,68.684
407.17,61.848,68.612,51.813,77.237,75.984
407.2,52.398,60.512,42.413,63.337,69.584
407.22,60.768,71.012,50.663,73.537,75.884
407.25,52.088,59.012,48.663,60.037,71.784
407.28,62.318,74.012,50.363,75.237,78.484
407.3,53.448,61.412,48.963,68.737,67.484
407.33,64.568,73.912,51.863,77.737,78.284
407.36,55.488,64.412,47.563,68.437,68.884
407.38,60.678,66.612,50.963,70.337,70.184
407.41,54.728,65.112,46.913,65.737,70.384
407.44,59.608,73.012,50.613,75.437,73.684
407.47,51.638,61.212,50.463,66.937,70.884
407.49,59.738,65.912,52.413,73.337,73.784
407.52,50.438,60.812,47.513,64.437,68.984
407.55,59.458,71.012,54.713,72.137,82.884
407.57,53.838,61.412,44.663,64.837,74.384
407.6,58.918,68.912,53.963,68.737,78.584
407.63,51.598,61.212,44.163,70.337,69.984
407.66,61.828,68.512,52.013,76.537,84.584
407.68,50.628,58.612,47.713,69.137,68.584
407.71,58.668,67.612,50.163,72.137,70.484
