Wavelength_nm,2026_02_18_BluGlass_Lot2GainChip_GC1_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC2_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC3_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC4_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC5_T=20C__I=100mA.txt
421.9,0.037485,0.11208,0.050466,0.045729,0.044826
421.93,0.032761,0.095656,0.04602,0.041814,0.038373
421.95,0.036769,0.10712,0.044812,0.045153,0.044153
421.98,0.032388,0.097024,0.041704,0.046247,0.03972
422,0.038271,0.1179,0.048653,0.048549,0.049484
422.03,0.032749,0.10472,0.042524,0.04285,0.040786
422.06,0.036321,0.10267,0.046883,0.04711,0.041684
422.08,0.030783,0.09001,0.045243,0.039684,0.038317
422.11,0.038093,0.11259,0.044984,0.045383,0.045163
422.13,0.030857,0.084364,0.038855,0.039857,0.036465
422.16,0.038087,0.10763,0.047703,0.046707,0.04651
422.19,0.033168,0.091892,0.045157,0.043541,0.040786
422.21,0.03549,0.11054,0.044337,0.044635,0.044041
422.24,0.033363,0.10643,0.045329,0.046477,0.042189
422.26,0.039119,0.12063,0.046926,0.049931,0.047576
422.29,0.032176,0.092918,0.039848,0.042159,0.043087
422.31,0.037858,0.10763,0.04697,0.046132,0.043255
422.34,0.032853,0.097195,0.043344,0.039166,0.039271
422.36,0.036574,0.1037,0.041963,0.045613,0.042806
422.39,0.035312,0.10729,0.048005,0.045959,0.046173
422.42,0.037554,0.11225,0.044984,0.043253,0.0455
422.44,0.037342,0.109,0.055213,0.052234,0.04449
422.47,0.037227,0.11311,0.050379,0.050046,0.04853
422.49,0.034028,0.10986,0.040798,0.042793,0.043928
422.52,0.037537,0.11054,0.047444,0.049298,0.049315
422.54,0.032704,0.098051,0.044984,0.041929,0.040225
422.57,0.040696,0.1244,0.053875,0.049758,0.04982
422.6,0.03283,0.092234,0.044466,0.042908,0.044321
422.62,0.037285,0.10027,0.047531,0.044692,0.041347
422.65,0.031918,0.097537,0.043085,0.041181,0.040337
422.67,0.035794,0.10797,0.047229,0.047743,0.041516
422.7,0.03166,0.090352,0.0452,0.042332,0.039439
422.72,0.037881,0.11054,0.048523,0.04878,0.046454
422.75,0.032967,0.10164,0.041833,0.038533,0.04174
422.77,0.037594,0.1078,0.047746,0.045498,0.042918
422.8,0.032526,0.09001,0.041531,0.040375,0.038317
422.82,0.041115,0.12063,0.056983,0.054479,0.050999
422.85,0.032744,0.096511,0.043215,0.040433,0.039888
422.88,0.035542,0.10164,0.044855,0.044174,0.047408
422.9,0.031901,0.091036,0.038251,0.042735,0.038261
422.93,0.03682,0.098564,0.044812,0.043368,0.043143
422.95,0.031253,0.089497,0.041316,0.039511,0.039383
422.98,0.036138,0.10284,0.045891,0.045729,0.04449
423,0.031563,0.09001,0.041013,0.041354,0.040618
423.03,0.036849,0.10455,0.044984,0.04734,0.043087
423.06,0.033025,0.094971,0.047056,0.04521,0.043423
423.08,0.039383,0.11807,0.051329,0.054939,0.0478
423.11,0.035123,0.10216,0.042308,0.044002,0.04073
423.13,0.038495,0.10814,0.049041,0.045729,0.048754
423.16,0.037245,0.11225,0.055947,0.047916,0.046846
423.18,0.037359,0.10849,0.048264,0.049125,0.047913
423.21,0.033598,0.095827,0.047099,0.045959,0.042021
423.23,0.039664,0.11447,0.050638,0.051428,0.0478
